iterations,currBestLength,bestLength,nBestPathAnts,nBestCurrentPathAnts,apha,beta,rho,Q,sigma,nAnts,nCities,pheremonesDiversity,hammingDistance2,diversityOfLength
73,220.105702877045,212.216498374939,6,0,1,2,0.7,50,20,20,48,0.0178811281233991,28.8631578947368,25.2858358662261
74,219.761321544647,212.216498374939,3,0,1,2,0.7,50,20,20,48,0.0224914264241852,28.8,21.7106761586534
75,208.132935285568,208.132935285568,0,0,1,2,0.7,50,20,20,48,0.0243162272601774,27.8578947368421,12.9343138097598
76,220.394232749939,208.132935285568,0,0,1,2,0.7,50,20,20,48,0.017041482500397,27.8,31.9510973212472
77,220.977150201797,208.132935285568,0,0,1,2,0.7,50,20,20,48,0.013956546480474,30.7368421052632,23.6695419494425
78,210.041877508163,208.132935285568,0,0,1,2,0.7,50,20,20,48,0.0426355088457261,31.7315789473684,26.0776731985896
79,207.873221635818,207.873221635818,0,0,1,2,0.7,50,20,20,48,0.630396227114475,29.0736842105263,27.4412185036512
80,208.527125358582,207.873221635818,0,0,1,2,0.7,50,20,20,48,3.27307951789337,27.7631578947368,13.2836455623097
81,232.18728351593,207.873221635818,0,0,1,2,0.7,50,20,20,48,9.98113680583908,25.7368421052632,0
82,220.15568447113,207.873221635818,0,0,1,2,0.7,50,20,20,48,10.0854149900169,25.4894736842105,0
83,215.711816310883,207.873221635818,0,0,1,2,0.7,50,20,20,48,10.1286272839422,25.4894736842105,0
84,219.059122085571,207.873221635818,0,0,1,2,0.7,50,20,20,48,9.97058537748514,23.5105263157895,0
